Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4,
Loyola Maryland,Patriot,348,348,345,253,6-25,5-14,1-11,5-13,330,203,0-1,0-3,1-4,5-17,
Southeast Mo. St.,OVC,349,349,300,233,5-22,4-14,1-8,1-14,298,143,0-2,0-1,0-7,5-12,
Holy Cross,Patriot,350,350,349,259,9-23,7-13,2-10,4-14,350,293,0-1,0-3,1-3,8-16,
UMES,MEAC,351,351,311,237,5-19,4-10,1-9,0-15,315,152,0-0,0-4,0-6,5-9,
Saint Francis (PA),NEC,352,352,347,258,6-22,3-14,3-8,2-14,341,227,0-1,0-3,0-2,6-16,
Siena,MAAC,353,353,244,211,4-27,3-17,1-10,2-13,297,226,0-1,0-2,0-9,4-15,
Lindenwood,OVC,354,354,339,251,6-22,3-15,3-7,3-12,308,172,0-2,0-1,0-3,6-16,
Stonehill,NEC,355,356,314,238,3-27,2-14,1-13,0-19,224,77,0-2,0-3,0-7,3-15,
Houston Christian,Southland,356,355,250,214,4-23,4-14,0-9,1-15,139,7,0-6,0-2,0-3,4-12,
Detroit Mercy,Horizon,357,357,185,193,1-31,1-20,0-11,0-20,194,78,0-2,0-5,0-13,1-11,
VMI,SoCon,358,358,159,185,1-28,1-18,0-10,0-15,203,273,0-3,0-3,0-12,1-10,
Pacific,WCC,359,359,155,184,4-26,0-17,4-9,1-13,137,334,0-6,1-2,0-6,3-12,
Coppin St.,MEAC,360,361,331,247,2-26,1-13,1-13,0-17,314,218,0-2,0-1,0-8,2-15,
IUPUI,Horizon,361,360,250,214,3-26,2-19,1-7,2-14,280,235,0-1,0-3,1-11,2-11,
Mississippi Val.,SWAC,362,362,271,222,1-30,1-17,0-13,0-22,123,2,0-6,0-4,0-2,1-18,
