date,team,oppteam,location,teamscore,oppscore
11/29/2023,Tennessee St.,Alabama A&M,V,83,85
11/29/2023,Abilene Christian,UT Arlington,V,71,86
11/29/2023,Boston U.,UAlbany,V,72,86
11/29/2023,NJIT,George Mason,V,68,86
11/29/2023,Cornell,Monmouth,H,91,87
11/29/2023,Central Mich.,Ohio St.,V,61,88
11/29/2023,Colorado,Colorado St.,V,83,88
11/29/2023,Northeastern,Seton Hall,V,75,88
11/29/2023,Central Ark.,LMU (CA),V,63,90
11/29/2023,Evansville,Missouri St.,V,78,90
11/29/2023,UNI,Belmont,H,70,90
11/29/2023,Monmouth,Cornell,V,87,91
11/29/2023,Southern Utah,California Baptist,H,66,91
11/29/2023,Florida A&M,Albany St. (GA),H,85,92
11/29/2023,North Carolina,Tennessee,H,100,92
11/29/2023,Cleveland St.,Youngstown St.,V,69,94
11/29/2023,Prairie View,Tulane,V,77,98
11/29/2023,Temple,La Salle,H,106,99
11/29/2023,Tennessee,North Carolina,V,92,100
11/29/2023,IUPUI,Wright St.,V,74,103
11/29/2023,North Florida,Iowa,V,78,103
11/29/2023,Eastern Wash.,Southern California,V,78,106
11/29/2023,La Salle,Temple,V,99,106
11/30/2023,Western Ill.,Hannibal-La Grange,H,92,40
11/30/2023,Kansas City,Southeast Mo. St.,H,74,44
11/30/2023,Longwood,Apprentice,H,95,46
11/30/2023,Fordham,Fairleigh Dickinson,H,80,52
11/30/2023,Jacksonville St.,South Alabama,H,70,52
11/30/2023,Elon,Warren Wilson,H,127,56
11/30/2023,Fla. Atlantic,Liberty,H,83,58
11/30/2023,Texas,Texas St.,H,77,58
11/30/2023,Omaha,Bellevue,H,78,59
11/30/2023,Oregon St.,UC Davis,H,71,59
11/30/2023,Kent St.,Shawnee St.,H,103,61
11/30/2023,Hofstra,South Fla.,H,82,63
11/30/2023,Illinois St.,UIC,V,69,64
11/30/2023,Minnesota,New Orleans,H,97,64
11/30/2023,Creighton,Oklahoma St.,V,79,65
11/30/2023,Samford,Louisiana,H,88,65
11/30/2023,UCLA,UC Riverside,H,66,65
11/30/2023,East Carolina,UNCW,H,74,66
11/30/2023,UC Riverside,UCLA,V,65,66
11/30/2023,Utah,Hawaii,N,79,66
11/30/2023,Delaware St.,Chicago St.,V,76,69
11/30/2023,UIC,Illinois St.,H,64,69
11/30/2023,Montana St.,Rocky Mountain,H,62,70
11/30/2023,Coppin St.,UMBC,H,89,70
11/30/2023,South Alabama,Jacksonville St.,V,52,70
11/30/2023,North Ala.,Tennessee Tech,H,86,71
11/30/2023,UC Davis,Oregon St.,V,59,71
11/30/2023,Southeast Mo. St.,Kansas City,V,44,74
11/30/2023,UNCW,East Carolina,V,66,74
11/30/2023,Chicago St.,Delaware St.,H,69,76
11/30/2023,Texas St.,Texas,V,58,77
11/30/2023,Rice,UT Martin,H,98,78
11/30/2023,Hawaii,Utah,N,66,79
11/30/2023,Oklahoma St.,Creighton,H,65,79
11/30/2023,Fairleigh Dickinson,Fordham,V,52,80
11/30/2023,South Fla.,Hofstra,V,63,82
11/30/2023,Liberty,Fla. Atlantic,V,58,83
11/30/2023,UTSA,Lamar University,H,86,83
11/30/2023,New Hampshire,Sacred Heart,V,90,84
11/30/2023,Lamar University,UTSA,V,83,86
11/30/2023,Oklahoma,Ark.-Pine Bluff,H,107,86
11/30/2023,Tennessee Tech,North Ala.,V,71,86
11/30/2023,Louisiana,Samford,V,65,88
11/30/2023,UMBC,Coppin St.,V,70,89
11/30/2023,Sacred Heart,New Hampshire,H,84,90
11/30/2023,Butler,Texas Tech,H,103,95
11/30/2023,New Orleans,Minnesota,V,64,97
11/30/2023,UT Martin,Rice,V,78,98
11/30/2023,Texas Tech,Butler,V,95,103
11/30/2023,Ark.-Pine Bluff,Oklahoma,V,86,107
12/1/2023,Army West Point,SUNY Maritime,H,74,39
12/1/2023,South Dakota St.,Towson,N,61,48
12/1/2023,UNC Asheville,Johnson (TN),H,97,51
12/1/2023,St. Thomas (MN),Western Mich.,V,65,51
12/1/2023,Eastern Mich.,Lake Superior St.,H,68,53
12/1/2023,Indiana,Maryland,H,65,53
12/1/2023,Cal St. Fullerton,North Dakota,H,64,54
12/1/2023,UNC Greensboro,William Peace,H,88,56
12/1/2023,BYU,Fresno St.,N,85,56
12/1/2023,Boise St.,Saint Mary's (CA),N,63,60
12/1/2023,Houston,Xavier,V,66,60
12/1/2023,Norfolk St.,VCU,V,63,60
12/1/2023,Troy,SIUE,H,83,60
12/1/2023,Towson,South Dakota St.,N,48,61
12/1/2023,San Diego St.,UC San Diego,V,63,62
12/1/2023,Saint Mary's (CA),Boise St.,N,60,63
12/1/2023,UC San Diego,San Diego St.,H,62,63
12/1/2023,VCU,Norfolk St.,H,60,63
12/1/2023,North Dakota,Cal St. Fullerton,V,54,64
12/1/2023,Kansas,UConn,H,69,65
12/1/2023,Maryland,Indiana,V,53,65
12/1/2023,Siena,Rider,H,67,65
12/1/2023,Western Mich.,St. Thomas (MN),H,51,65
12/1/2023,Bryant,Brown,V,69,66
12/1/2023,LSU,Southeastern La.,H,73,66
12/1/2023,Little Rock,Arkansas St.,H,77,66
12/1/2023,Xavier,Houston,H,60,66
12/1/2023,Col. of Charleston,Liberty,N,76,67
12/1/2023,Iona,Fairfield,V,78,67
12/1/2023,Rider,Siena,V,65,67
12/1/2023,Saint Peter's,Niagara,V,72,67
12/1/2023,South Carolina,George Washington,H,89,67
12/1/2023,Queens (NC),Carolina Christian,H,134,69
12/1/2023,Brown,Bryant,H,66,69
12/1/2023,Georgia,Mercer,H,80,69
12/1/2023,UConn,Kansas,V,65,69
12/1/2023,Portland,Wyoming,H,81,70
12/1/2023,Niagara,Saint Peter's,H,67,72
12/1/2023,Canisius,Quinnipiac,H,93,73
12/1/2023,Southeastern La.,LSU,V,66,73
12/1/2023,St. John's (NY),West Virginia,V,79,73
12/1/2023,Manhattan,Mount St. Mary's,H,75,74
12/1/2023,Mount St. Mary's,Manhattan,V,74,75
12/1/2023,Liberty,Col. of Charleston,N,67,76
12/1/2023,Arkansas St.,Little Rock,V,66,77
12/1/2023,Fairfield,Iona,H,67,78
12/1/2023,West Virginia,St. John's (NY),H,73,79
12/1/2023,Iowa St.,DePaul,V,99,80
12/1/2023,Mercer,Georgia,V,69,80
12/1/2023,Wyoming,Portland,V,70,81
12/1/2023,Bethune-Cookman,UIW,H,96,82
12/1/2023,Southern Miss.,UAB,V,85,82
12/1/2023,SIUE,Troy,V,60,83
12/1/2023,Fresno St.,BYU,N,56,85
12/1/2023,UAB,Southern Miss.,H,82,85
12/1/2023,Northwestern,Purdue,H,92,88
12/1/2023,George Washington,South Carolina,V,67,89
12/1/2023,Purdue,Northwestern,V,88,92
12/1/2023,Quinnipiac,Canisius,V,73,93
12/1/2023,UIW,Bethune-Cookman,V,82,96
12/1/2023,DePaul,Iowa St.,H,80,99
12/2/2023,Baylor,Northwestern St.,H,91,40
12/2/2023,Dayton,Grambling,H,76,46
12/2/2023,North Texas,Mississippi Val.,H,79,48
12/2/2023,Boston U.,Sacred Heart,V,70,49
12/2/2023,Miami (FL),Notre Dame,H,62,49
12/2/2023,Eastern Ill.,UHSP,H,112,50
12/2/2023,Bowling Green,Southern Ind.,V,54,52
12/2/2023,Loyola Chicago,Harvard,H,75,53
12/2/2023,Utah Tech,Utah Valley,H,65,53
12/2/2023,Southern Ind.,Bowling Green,H,52,54
12/2/2023,Arizona,Colgate,H,82,55
12/2/2023,Drexel,Villanova,N,57,55
12/2/2023,Louisiana Tech,Nicholls,H,68,55
12/2/2023,Northern Ky.,IUPUI,V,71,55
12/2/2023,Campbell,Southern Va.,H,87,56
12/2/2023,Massachusetts,South Fla.,H,66,56
12/2/2023,Rice,Houston Christian,H,65,56
12/2/2023,Drake,Missouri St.,H,74,57
12/2/2023,UCF,Lipscomb,H,72,57
12/2/2023,Villanova,Drexel,N,55,57
12/2/2023,Youngstown St.,Robert Morris,V,71,57
12/2/2023,Ball St.,Bellarmine,H,67,58
12/2/2023,Cleveland St.,Detroit Mercy,H,69,58
12/2/2023,Green Bay,Milwaukee,H,70,58
12/2/2023,Illinois,Rutgers,V,76,58
12/2/2023,Montana,San Jose St.,H,75,58
12/2/2023,Northern Ariz.,Pacific,H,78,58
12/2/2023,FIU,LIU,H,74,59
12/2/2023,Nevada,LMU (CA),H,73,59
12/2/2023,Vanderbilt,Alabama A&M,H,78,59
12/2/2023,Wagner,Stony Brook,V,60,59
12/2/2023,Stony Brook,Wagner,H,59,60
12/2/2023,Washington St.,Portland St.,H,71,61
12/2/2023,New Mexico,New Mexico St.,H,106,62
12/2/2023,Notre Dame,Miami (FL),V,49,62
12/2/2023,Southern Ill.,Saint Louis,H,101,62
12/2/2023,Virginia,Syracuse,H,84,62
12/2/2023,Seattle U,Southern Utah,H,73,63
12/2/2023,Binghamton,Stonehill,V,79,64
12/2/2023,Charleston So.,South Carolina St.,H,66,64
12/2/2023,Wisconsin,Marquette,H,75,64
12/2/2023,Wofford,Middle Tenn.,V,74,64
12/2/2023,Houston Christian,Rice,V,56,65
12/2/2023,Saint Joseph's,Temple,N,74,65
12/2/2023,St. Bonaventure,Buffalo,V,80,65
12/2/2023,Tennessee St.,Austin Peay,H,69,65
12/2/2023,Utah Valley,Utah Tech,V,53,65
12/2/2023,Vermont,Yale,H,66,65
12/2/2023,Denver,Colorado Col.,H,90,66
12/2/2023,South Carolina St.,Charleston So.,V,64,66
12/2/2023,South Fla.,Massachusetts,V,56,66
12/2/2023,Yale,Vermont,V,65,66
12/2/2023,Bellarmine,Ball St.,V,58,67
12/2/2023,Bucknell,Penn St.,V,76,67
12/2/2023,Central Conn. St.,Holy Cross,H,78,67
12/2/2023,Belmont,Valparaiso,H,77,68
12/2/2023,Fairleigh Dickinson,NJIT,V,71,68
12/2/2023,Georgia Tech,Duke,H,72,68
12/2/2023,Merrimack,UMass Lowell,H,74,68
12/2/2023,Nicholls,Louisiana Tech,V,55,68
12/2/2023,Northeastern,Old Dominion,H,81,68
12/2/2023,The Citadel,N.C. A&T,V,85,68
12/2/2023,UAlbany,Dartmouth,H,73,68
12/2/2023,Austin Peay,Tennessee St.,V,65,69
12/2/2023,California,Santa Clara,H,84,69
12/2/2023,Detroit Mercy,Cleveland St.,V,58,69
12/2/2023,Grand Canyon,UT Arlington,H,76,69
12/2/2023,Princeton,Furman,H,70,69
12/2/2023,Providence,Rhode Island,H,84,69
12/2/2023,Richmond,William & Mary,H,88,69
12/2/2023,Utah St.,UC Irvine,H,79,69
12/2/2023,Furman,Princeton,V,69,70
12/2/2023,Idaho,Cal Poly,H,85,70
12/2/2023,Idaho St.,Lindenwood,H,76,70
12/2/2023,Milwaukee,Green Bay,V,58,70
12/2/2023,North Carolina,Florida St.,H,78,70
12/2/2023,Oral Roberts,Tulsa,H,79,70
12/2/2023,Sacred Heart,Boston U.,H,49,70
12/2/2023,Cornell,Lafayette,V,79,71
12/2/2023,IUPUI,Northern Ky.,H,55,71
12/2/2023,NJIT,Fairleigh Dickinson,H,68,71
12/2/2023,Northern Colo.,CSUN,H,75,71
12/2/2023,Portland St.,Washington St.,V,61,71
12/2/2023,Presbyterian,VMI,V,75,71
12/2/2023,Robert Morris,Youngstown St.,H,57,71
12/2/2023,Duke,Georgia Tech,V,68,72
12/2/2023,Lipscomb,UCF,V,57,72
12/2/2023,Dartmouth,UAlbany,V,68,73
12/2/2023,Davidson,Wright St.,H,82,73
12/2/2023,Delaware St.,Loyola Maryland,V,79,73
12/2/2023,LMU (CA),Nevada,V,59,73
12/2/2023,Long Beach St.,Sacramento St.,H,83,73
12/2/2023,Ohio,Delaware,H,74,73
12/2/2023,Saint Francis (PA),American,V,75,73
12/2/2023,Southern Utah,Seattle U,V,63,73
12/2/2023,UNCW,Kentucky,V,80,73
12/2/2023,Delaware,Ohio,V,73,74
12/2/2023,Fla. Atlantic,Col. of Charleston,H,90,74
12/2/2023,Kansas St.,North Ala.,H,75,74
12/2/2023,LIU,FIU,V,59,74
12/2/2023,Miami (OH),Marshall,V,79,74
12/2/2023,Middle Tenn.,Wofford,H,64,74
12/2/2023,Missouri St.,Drake,V,57,74
12/2/2023,SFA,Abilene Christian,V,79,74
12/2/2023,Temple,Saint Joseph's,N,65,74
12/2/2023,UMass Lowell,Merrimack,V,68,74
12/2/2023,American,Saint Francis (PA),H,73,75
12/2/2023,CSUN,Northern Colo.,V,71,75
12/2/2023,Harvard,Loyola Chicago,V,53,75
12/2/2023,Marquette,Wisconsin,V,64,75
12/2/2023,North Ala.,Kansas St.,V,74,75
12/2/2023,San Jose St.,Montana,V,58,75
12/2/2023,Tarleton St.,UTRGV,H,77,75
12/2/2023,VMI,Presbyterian,H,71,75
12/2/2023,Gonzaga,Southern California,N,89,76
12/2/2023,Grambling,Dayton,V,46,76
12/2/2023,Lindenwood,Idaho St.,V,70,76
12/2/2023,Penn St.,Bucknell,H,67,76
12/2/2023,Rutgers,Illinois,H,58,76
12/2/2023,UT Arlington,Grand Canyon,V,69,76
12/2/2023,Gardner-Webb,Western Caro.,H,82,77
12/2/2023,George Mason,Toledo,V,86,77
12/2/2023,Indiana St.,Bradley,V,85,77
12/2/2023,Kennesaw St.,Georgia St.,H,88,77
12/2/2023,Ole Miss,Memphis,H,80,77
12/2/2023,Purdue Fort Wayne,Oakland,V,98,77
12/2/2023,UTRGV,Tarleton St.,V,75,77
12/2/2023,Valparaiso,Belmont,V,68,77
12/2/2023,Alabama A&M,Vanderbilt,V,59,78
12/2/2023,Florida St.,North Carolina,V,70,78
12/2/2023,Holy Cross,Central Conn. St.,V,67,78
12/2/2023,NC State,Boston College,V,84,78
12/2/2023,Pacific,Northern Ariz.,V,58,78
12/2/2023,Abilene Christian,SFA,H,74,79
12/2/2023,High Point,North Florida,V,86,79
12/2/2023,Jacksonville,Ga. Southern,V,81,79
12/2/2023,Lafayette,Cornell,H,71,79
12/2/2023,Loyola Maryland,Delaware St.,H,73,79
12/2/2023,Marshall,Miami (OH),H,74,79
12/2/2023,Mississippi Val.,North Texas,V,48,79
12/2/2023,Stonehill,Binghamton,H,64,79
12/2/2023,Tulsa,Oral Roberts,V,70,79
12/2/2023,UC Irvine,Utah St.,V,69,79
12/2/2023,Buffalo,St. Bonaventure,H,65,80
12/2/2023,Kentucky,UNCW,H,73,80
12/2/2023,McNeese,UT Martin,H,91,80
12/2/2023,Memphis,Ole Miss,V,77,80
12/2/2023,Colorado St.,Washington,N,86,81
12/2/2023,Ga. Southern,Jacksonville,H,79,81
12/2/2023,Old Dominion,Northeastern,V,68,81
12/2/2023,Colgate,Arizona,V,55,82
12/2/2023,USC Upstate,N.C. Central,V,85,82
12/2/2023,Western Caro.,Gardner-Webb,V,77,82
12/2/2023,Wright St.,Davidson,V,73,82
12/2/2023,Oregon,Michigan,H,86,83
12/2/2023,Sacramento St.,Long Beach St.,V,73,83
12/2/2023,TCU,Georgetown,V,84,83
12/2/2023,Boston College,NC State,H,78,84
12/2/2023,Georgetown,TCU,H,83,84
12/2/2023,Rhode Island,Providence,V,69,84
12/2/2023,Santa Clara,California,V,69,84
12/2/2023,Syracuse,Virginia,V,62,84
12/2/2023,Bradley,Indiana St.,H,77,85
12/2/2023,Cal Poly,Idaho,V,70,85
12/2/2023,N.C. A&T,The Citadel,H,68,85
12/2/2023,N.C. Central,USC Upstate,H,82,85
12/2/2023,Michigan,Oregon,V,83,86
12/2/2023,North Florida,High Point,H,79,86
12/2/2023,Toledo,George Mason,H,77,86
12/2/2023,Washington,Colorado St.,N,81,86
12/2/2023,UMBC,Lehigh,H,92,87
12/2/2023,Winthrop,Coastal Carolina,V,90,87
12/2/2023,Georgia St.,Kennesaw St.,V,77,88
12/2/2023,William & Mary,Richmond,V,69,88
12/2/2023,Evansville,UNI,H,91,89
12/2/2023,Southern California,Gonzaga,N,76,89
12/2/2023,Coastal Carolina,Winthrop,H,87,90
12/2/2023,Col. of Charleston,Fla. Atlantic,V,74,90
12/2/2023,Northwestern St.,Baylor,V,40,91
12/2/2023,UNI,Evansville,V,89,91
12/2/2023,UT Martin,McNeese,V,80,91
12/2/2023,La Salle,Penn,N,93,92
12/2/2023,Lehigh,UMBC,V,87,92
12/2/2023,Penn,La Salle,N,92,93
12/2/2023,Oakland,Purdue Fort Wayne,H,77,98
12/2/2023,Saint Louis,Southern Ill.,V,62,101
12/2/2023,New Mexico St.,New Mexico,V,62,106
12/3/2023,SMU,Tex. A&M-Commerce,H,90,47
12/3/2023,Mount St. Mary's,Siena,H,80,48
12/3/2023,Maine,Brown,H,60,49
12/3/2023,Cal St. Fullerton,Stanton,H,102,52
12/3/2023,Navy,Coppin St.,H,75,52
12/3/2023,Saint Peter's,Canisius,V,54,52
12/3/2023,Canisius,Saint Peter's,H,52,54
12/3/2023,Chicago St.,Stetson,H,77,54
12/3/2023,Longwood,Morgan St.,V,88,54
12/3/2023,Southeast Mo. St.,Mo. Baptist,H,84,56
12/3/2023,Marist,Manhattan,H,70,56
12/3/2023,Air Force,Portland,V,80,58
12/3/2023,James Madison,Keystone,H,130,59
12/3/2023,ETSU,Jacksonville St.,V,61,59
12/3/2023,Southern U.,Mississippi St.,V,60,59
12/3/2023,Alabama St.,MUW,H,80,60
12/3/2023,Brown,Maine,V,49,60
12/3/2023,Creighton,Nebraska,V,89,60
12/3/2023,Mississippi St.,Southern U.,H,59,60
12/3/2023,Arizona St.,San Francisco,H,72,61
12/3/2023,Jacksonville St.,ETSU,H,59,61
12/3/2023,Cincinnati,FGCU,H,99,62
12/3/2023,UC Riverside,North Dakota,H,68,62
12/3/2023,App State,Auburn,H,69,64
12/3/2023,Stanford,San Diego,H,88,64
12/3/2023,Hampton,Virginia-Lynchburg,H,121,66
12/3/2023,Colorado,Pepperdine,H,91,66
12/3/2023,North Dakota,UC Riverside,V,62,68
12/3/2023,Quinnipiac,Niagara,V,75,68
12/3/2023,South Dakota,Western Ill.,V,70,68
12/3/2023,Virginia Tech,Louisville,H,75,68
12/3/2023,Auburn,App State,V,64,69
12/3/2023,Western Ky.,Eastern Ky.,H,79,69
12/3/2023,Clemson,Pittsburgh,V,79,70
12/3/2023,Manhattan,Marist,V,56,70
12/3/2023,Sam Houston,Lamar University,H,90,70
12/3/2023,Western Ill.,South Dakota,H,68,70
12/3/2023,New Hampshire,Columbia,H,80,71
12/3/2023,Illinois St.,Murray St.,H,76,72
12/3/2023,Missouri,Wichita St.,H,82,72
12/3/2023,Radford,Elon,H,82,72
12/3/2023,San Francisco,Arizona St.,V,61,72
12/3/2023,Ohio St.,Minnesota,H,84,74
12/3/2023,Coppin St.,Navy,V,52,75
12/3/2023,Louisville,Virginia Tech,V,68,75
12/3/2023,Niagara,Quinnipiac,H,68,75
12/3/2023,Hawaii,Central Ark.,H,95,76
12/3/2023,Murray St.,Illinois St.,V,72,76
12/3/2023,Stetson,Chicago St.,V,54,77
12/3/2023,Eastern Ky.,Western Ky.,V,69,79
12/3/2023,Pittsburgh,Clemson,H,70,79
12/3/2023,Columbia,New Hampshire,V,71,80
12/3/2023,Morehead St.,Chattanooga,H,87,80
12/3/2023,Portland,Air Force,H,58,80
12/3/2023,Siena,Mount St. Mary's,V,48,80
12/3/2023,Fairfield,Rider,V,88,81
12/3/2023,Tulane,Fordham,V,89,81
12/3/2023,Samford,LaGrange,H,128,82
12/3/2023,Tennessee Tech,Alice Lloyd,H,108,82
12/3/2023,Elon,Radford,V,72,82
12/3/2023,Wichita St.,Missouri,V,72,82
12/3/2023,Minnesota,Ohio St.,V,74,84
12/3/2023,Chattanooga,Morehead St.,V,80,87
12/3/2023,Morgan St.,Longwood,H,54,88
12/3/2023,Rider,Fairfield,H,81,88
12/3/2023,San Diego,Stanford,V,64,88
12/3/2023,Fordham,Tulane,H,81,89
12/3/2023,Nebraska,Creighton,H,60,89
12/3/2023,Lamar University,Sam Houston,V,70,90
12/3/2023,Tex. A&M-Commerce,SMU,V,47,90
12/3/2023,Pepperdine,Colorado,V,66,91
12/3/2023,Central Ark.,Hawaii,V,76,95
12/3/2023,FGCU,Cincinnati,V,62,99
12/4/2023,Coastal Carolina,St. Andrews,H,110,46
12/4/2023,East Carolina,UMES,H,63,52
12/4/2023,Bellarmine,Boyce,H,88,54
12/4/2023,Georgia St.,Middle Ga. St.,H,89,57
12/4/2023,UTEP,Western N.M.,H,90,62
12/4/2023,Oregon St.,Cal Poly,H,70,63
12/4/2023,UMES,East Carolina,V,52,63
12/4/2023,Alabama,Arkansas St.,H,89,65
12/4/2023,Purdue,Iowa,H,87,68
12/4/2023,Cal Poly,Oregon St.,V,63,70
12/4/2023,North Dakota St.,San Jose St.,H,83,78
12/4/2023,Arkansas,Furman,H,97,83
12/4/2023,San Jose St.,North Dakota St.,V,78,83
12/4/2023,Iowa,Purdue,V,68,87
12/4/2023,Arkansas St.,Alabama,V,65,89
12/4/2023,Furman,Arkansas,V,83,97
12/5/2023,McNeese,MUW,H,92,23
12/5/2023,App State,Central Penn,H,111,35
12/5/2023,Liberty,Mississippi Val.,H,74,39
12/5/2023,Austin Peay,Midway,H,98,44
12/5/2023,North Florida,Edward Waters,H,99,47
12/5/2023,Virginia,N.C. Central,H,77,47
12/5/2023,Louisiana Tech,SFA,V,56,49
12/5/2023,Army West Point,Le Moyne,H,68,51
12/5/2023,Oklahoma,Providence,H,72,51
12/5/2023,Akron,Bradley,H,67,52
12/5/2023,Idaho,Pacific,H,83,53
12/5/2023,FGCU,New College (FL),H,87,54
12/5/2023,Utah Valley,Weber St.,H,70,54
12/5/2023,BYU,Evansville,H,96,55
12/5/2023,Tarleton St.,Hardin-Simmons,H,92,56
12/5/2023,SFA,Louisiana Tech,H,49,56
12/5/2023,Florida,Merrimack,H,77,57
12/5/2023,Saint Mary's (CA),Cleveland St.,H,70,57
12/5/2023,Wisconsin,Michigan St.,V,70,57
12/5/2023,CSU Bakersfield,Whittier,H,106,58
12/5/2023,Delaware St.,Gwynedd Mercy,H,105,58
12/5/2023,UAlbany,SUNY Potsdam,H,98,59
12/5/2023,Wyoming,South Dakota Mines,H,80,59
12/5/2023,Butler,Buffalo,H,72,59
12/5/2023,The Citadel,Pfeiffer,H,88,60
12/5/2023,Baylor,Seton Hall,H,78,60
12/5/2023,Washington,Montana St.,H,85,61
12/5/2023,Charlotte,Stetson,H,85,62
12/5/2023,Georgia,Georgia Tech,H,76,62
12/5/2023,ULM,Champion Chris.,H,110,63
12/5/2023,Boise St.,North Texas,H,69,64
12/5/2023,New Orleans,Belhaven,H,79,65
12/5/2023,Notre Dame,Western Mich.,H,86,65
12/5/2023,Tennessee,George Mason,H,87,66
12/5/2023,Montana,Mont. St.-Northern,H,91,67
12/5/2023,UC San Diego,Occidental,H,98,67
12/5/2023,Bradley,Akron,V,52,67
12/5/2023,Fresno St.,Idaho St.,H,79,67
12/5/2023,Indiana St.,NIU,V,90,67
12/5/2023,Boston College,Central Conn. St.,H,82,68
12/5/2023,Le Moyne,Army West Point,V,51,68
12/5/2023,Ole Miss,Mount St. Mary's,H,77,68
12/5/2023,Southern Ill.,Oklahoma St.,H,70,68
12/5/2023,UMass Lowell,Fisher,H,117,69
12/5/2023,Kansas,Kansas City,H,88,69
12/5/2023,North Texas,Boise St.,V,64,69
12/5/2023,Cleveland St.,Saint Mary's (CA),V,57,70
12/5/2023,Michigan St.,Wisconsin,H,57,70
12/5/2023,Oklahoma St.,Southern Ill.,V,68,70
12/5/2023,Princeton,Drexel,H,81,70
12/5/2023,Syracuse,Cornell,H,81,70
12/5/2023,Weber St.,Utah Valley,V,54,70
12/5/2023,Gonzaga,Ark.-Pine Bluff,H,111,71
12/5/2023,High Point,Western Caro.,H,97,71
12/5/2023,Kansas St.,Villanova,H,72,71
12/5/2023,Buffalo,Butler,V,59,72
12/5/2023,Columbia,Lafayette,H,83,72
12/5/2023,Providence,Oklahoma,V,51,72
12/5/2023,Villanova,Kansas St.,V,71,72
12/5/2023,Grand Canyon,San Diego St.,H,79,73
12/5/2023,Kent St.,South Dakota St.,V,82,73
12/5/2023,Middle Tenn.,Missouri St.,H,77,73
12/5/2023,Mississippi Val.,Liberty,V,39,74
12/5/2023,Indiana,Michigan,V,78,75
12/5/2023,Georgia Tech,Georgia,V,62,76
12/5/2023,Kennesaw St.,UNC Asheville,H,79,76
12/5/2023,UConn,North Carolina,N,87,76
12/5/2023,George Washington,Navy,H,79,77
12/5/2023,Merrimack,Florida,V,57,77
12/5/2023,Missouri St.,Middle Tenn.,V,73,77
12/5/2023,Mount St. Mary's,Ole Miss,V,68,77
12/5/2023,N.C. Central,Virginia,V,47,77
12/5/2023,Tulsa,Loyola Chicago,H,88,77
12/5/2023,Michigan,Indiana,H,75,78
12/5/2023,Seton Hall,Baylor,V,60,78
12/5/2023,Idaho St.,Fresno St.,V,67,79
12/5/2023,Navy,George Washington,V,77,79
12/5/2023,San Diego St.,Grand Canyon,V,73,79
12/5/2023,UNC Asheville,Kennesaw St.,V,76,79
12/5/2023,Delaware,Xavier,V,87,80
12/5/2023,Cornell,Syracuse,V,70,81
12/5/2023,Drexel,Princeton,V,70,81
12/5/2023,Central Conn. St.,Boston College,V,68,82
12/5/2023,South Dakota St.,Kent St.,H,73,82
12/5/2023,Winthrop,Queens (NC),H,88,82
12/5/2023,Lafayette,Columbia,V,72,83
12/5/2023,Pacific,Idaho,V,53,83
12/5/2023,Montana St.,Washington,V,61,85
12/5/2023,Stetson,Charlotte,V,62,85
12/5/2023,Utah,Southern Utah,H,88,86
12/5/2023,Western Mich.,Notre Dame,V,65,86
12/5/2023,George Mason,Tennessee,V,66,87
12/5/2023,North Carolina,UConn,N,76,87
12/5/2023,Xavier,Delaware,H,80,87
12/5/2023,Kansas City,Kansas,V,69,88
12/5/2023,Loyola Chicago,Tulsa,V,77,88
12/5/2023,Queens (NC),Winthrop,V,82,88
12/5/2023,Southern Utah,Utah,V,86,88
12/5/2023,Illinois,Fla. Atlantic,N,98,89
12/5/2023,NIU,Indiana St.,H,67,90
12/5/2023,Evansville,BYU,V,55,96
12/5/2023,Western Caro.,High Point,V,71,97
12/5/2023,Fla. Atlantic,Illinois,N,89,98
12/5/2023,Ark.-Pine Bluff,Gonzaga,V,71,111
12/6/2023,Colgate,VTSU Lyndon,H,115,37
12/6/2023,UT Arlington,UNT Dallas,H,74,37
12/6/2023,Houston,Rice,H,75,39
12/6/2023,Southeast Mo. St.,Harris-Stowe,H,95,45
12/6/2023,Miami (FL),LIU,H,97,49
12/6/2023,Washington St.,UC Riverside,H,86,49
12/6/2023,Davidson,Campbell,H,62,50
12/6/2023,St. John's (NY),Sacred Heart,H,85,50
12/6/2023,Bryant,Siena,V,67,51
12/6/2023,UCF,Jacksonville,H,94,52
12/6/2023,Saint Joseph's,American,H,69,53
12/6/2023,Temple,Bloomsburg,H,85,55
12/6/2023,Cal St. Fullerton,Pepperdine,V,60,55
12/6/2023,Penn,FDU-Florham,H,111,57
12/6/2023,Hofstra,Iona,V,62,57
12/6/2023,Purdue Fort Wayne,Southern Ind.,V,70,57
12/6/2023,Wake Forest,Rutgers,H,76,57
12/6/2023,Houston Christian,S'western Adventist,H,95,58
12/6/2023,Western Ill.,Coe,H,80,58
12/6/2023,Texas Tech,Omaha,H,87,58
12/6/2023,Illinois St.,Northern Ky.,H,62,59
12/6/2023,Wagner,Coppin St.,V,62,59
12/6/2023,Portland St.,Lewis & Clark,H,104,60
12/6/2023,Florida A&M,Presbyterian,V,65,60
12/6/2023,Pepperdine,Cal St. Fullerton,H,55,60
12/6/2023,San Francisco,Vanderbilt,V,73,60
12/6/2023,St. Bonaventure,Niagara,V,94,60
12/6/2023,La Salle,Loyola Maryland,H,62,61
12/6/2023,NC State,UMES,H,93,61
12/6/2023,New Mexico,UC Santa Barbara,H,84,61
